N,dr,l,smallest_eigenvalue,translation_overlap,constraint_lambda
80,0.3125,1,-0.0060298063,0.9998743495,-0.962779
120,0.2083333333,1,-0.0028576697,0.9999749349,-0.959397
160,0.15625,1,-0.0016505085,0.9999920324,-0.958316
200,0.125,1,-0.0010704088,0.9999967282,-0.957836
240,0.1041666667,1,-0.0007482627,0.9999984201,-0.957581
160,0.15625,2,2.0233374624,,-0.958316
160,0.15625,3,2.074106411,,-0.958316
160,0.15625,4,2.1331768656,,-0.958316
160,0.15625,5,2.2006483511,,-0.958316
160,0.15625,6,2.2765395445,,-0.958316
160,0.15625,7,2.3609094257,,-0.958316
160,0.15625,8,2.4538516773,,-0.958316
160,0.15625,9,2.555489336,,-0.958316
160,0.15625,10,2.6659711221,,-0.958316
160,0.15625,11,2.7854688684,,-0.958316
160,0.15625,12,2.9141756583,,-0.958316
160,0.15625,13,3.0523044377,,-0.958316
160,0.15625,14,3.2000869528,,-0.958316
160,0.15625,15,3.3577729216,,-0.958316
160,0.15625,16,3.5256293731,,-0.958316
160,0.15625,17,3.7039401139,,-0.958316
160,0.15625,18,3.8930052902,,-0.958316
160,0.15625,19,4.0931410233,,-0.958316
160,0.15625,20,4.3046791041,,-0.958316
